date,gold_close,gold_open,gold_high,gold_low,silver_close,silver_open,silver_high,silver_low,gsr,gold_ret_1d,silver_ret_1d,gsr_ret_1d,gold_mom_20d,silver_mom_20d,gsr_mom_20d,mom_divergence_20d,gsr_mean_252d,gsr_std_252d,gsr_z_252d
1793-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,,,,,,,,,,
1793-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1793-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1793-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1794-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1794-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1794-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1794-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1795-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1795-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1795-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1795-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1796-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1796-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1796-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1796-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1797-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1797-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1797-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1797-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,,,,,,,
1798-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1798-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1798-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1798-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1799-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1799-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1799-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1799-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1800-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1800-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1800-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1800-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1801-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1801-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1801-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1801-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1802-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1802-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1802-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1802-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1803-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1803-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1803-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1803-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1804-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1804-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1804-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1804-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1805-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1805-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1805-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1805-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1806-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1806-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1806-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1806-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1807-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1807-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1807-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1807-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1808-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1808-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1808-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1808-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1809-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1809-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1809-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1809-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1810-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1810-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1810-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1810-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1811-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1811-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1811-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1811-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1812-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1812-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1812-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1812-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1813-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1813-06-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1813-09-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1813-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1814-03-01,19.39,19.39,19.39,19.39,1.45,1.29,1.45,1.29,13.37241379310345,0.0,0.12403100775193798,-0.11034482758620678,0.0,0.12403100775193798,-0.11034482758620678,-0.12403100775193798,,,
1814-06-01,19.39,19.39,19.39,19.39,1.45,1.45,1.45,1.45,13.37241379310345,0.0,0.0,0.0,0.0,0.12403100775193798,-0.11034482758620678,-0.12403100775193798,,,
1814-09-01,21.79,19.39,21.79,19.39,1.45,1.45,1.45,1.45,15.027586206896551,0.12377514182568317,0.0,0.12377514182568317,0.12377514182568317,0.12403100775193798,-0.00022763244473700261,-0.00025586592625481686,,,
1814-12-01,21.79,21.79,21.79,21.79,1.45,1.45,1.45,1.45,15.027586206896551,0.0,0.0,0.0,0.12377514182568317,0.12403100775193798,-0.00022763244473700261,-0.00025586592625481686,,,
1815-03-01,21.79,21.79,21.79,21.79,1.48,1.45,1.48,1.45,14.722972972972972,0.0,0.020689655172413834,-0.020270270270270285,0.12377514182568317,0.1472868217054264,-0.020493288543830146,-0.02351167987974323,,,
1815-06-01,19.78,21.79,21.79,19.78,1.48,1.48,1.48,1.48,13.364864864864865,-0.09224414869206055,0.0,-0.09224414869206055,0.02011346054667351,0.1472868217054264,-0.11084705128026429,-0.12717336115875288,,,
1815-09-01,23.07,19.78,23.07,19.78,1.48,1.48,1.48,1.48,15.587837837837839,0.166329625884732,0.0,0.1663296258847322,0.18978855079938106,0.1472868217054264,0.03704542603459582,0.042501729093954665,,,
1815-12-01,22.16,23.07,23.07,22.16,1.48,1.48,1.48,1.48,14.972972972972974,-0.039445166883398386,0.0,-0.039445166883398386,0.1428571428571428,0.1472868217054264,-0.0038610038610038533,-0.0044296788482836025,,,
1816-03-01,22.16,22.16,22.16,22.16,1.32,1.48,1.48,1.32,16.78787878787879,0.0,-0.108108108108108,0.12121212121212133,0.1428571428571428,0.023255813953488413,0.11688311688311703,0.11960132890365438,,,
1816-06-01,22.16,22.16,22.16,22.16,1.32,1.32,1.32,1.32,16.78787878787879,0.0,0.0,0.0,0.1428571428571428,0.023255813953488413,0.11688311688311703,0.11960132890365438,,,
1816-09-01,19.74,22.16,22.16,19.74,1.32,1.32,1.32,1.32,14.954545454545453,-0.10920577617328531,0.0,-0.10920577617328531,0.0180505415162453,0.023255813953488413,-0.0050869707909420026,-0.005205272437243114,,,
1816-12-01,19.84,19.74,19.84,19.74,1.32,1.32,1.32,1.32,15.03030303030303,0.005065856129685908,0.0,0.005065856129685908,0.023207839092315607,0.023255813953488413,-4.688452341883309e-05,-4.7974861172805916e-05,,,
1817-03-01,19.84,19.84,19.84,19.84,1.29,1.32,1.32,1.29,15.379844961240309,0.0,-0.022727272727272707,0.023255813953488413,0.023207839092315607,0.0,0.023207839092315607,0.023207839092315607,,,
1817-06-01,19.89,19.84,19.89,19.84,1.29,1.29,1.29,1.29,15.418604651162791,0.002520161290322509,0.0,0.002520161290322731,0.02578648788035065,0.0,0.02578648788035065,0.02578648788035065,,,
1817-09-01,19.39,19.89,19.89,19.39,1.29,1.29,1.29,1.29,15.031007751937985,-0.0251382604323781,0.0,-0.0251382604323781,0.0,0.0,0.0,0.0,,,
1817-12-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1818-03-01,19.39,19.39,19.39,19.39,1.29,1.29,1.29,1.29,15.031007751937985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
